,economy_fiscal_news_sentiment_score,economy_fiscal_news_sentiment_label,economy_macro_news_sentiment_score,economy_macro_news_sentiment_label,economy_monetary_news_sentiment_score,economy_monetary_news_sentiment_label,financial_market_news_sentiment_score,financial_market_news_sentiment_label,ticker_news_compound,adj_close,volume,MACD_signal,OBV ema,RSI
427,-0.1310846,1,-0.1260517142857143,1,-0.12424787654320989,0,-0.00615368456375839,1,0.10558571428571428,-0.01627605697744683,24446000.0,-1.0346839630017075,744655783.3554852,44.53377623946564
430,-0.10593288,1,-0.13352062068965517,1,-0.22355186486486486,1,-0.365286,0,-0.08681999999999997,-0.04282022560539067,39178000.0,-1.0397269053702103,731268346.8492393,44.53377623946563
431,-0.11098786046511629,1,-0.06745203225806451,1,-0.22355186486486486,1,-0.365286,0,0.08846428571428573,0.006436612551132148,35250000.0,-1.2089971534627648,730131955.7076995,47.928438651028486
432,-0.15110400000000002,2,-0.06199217647058823,1,-0.22355186486486486,1,-0.365286,0,0.464175,0.05175653169688643,32258000.0,-1.242177325961703,734561296.423083,66.0415963214686
433,-0.08954063265306123,1,-0.06438969387755103,1,-0.22355186486486486,1,-0.365286,0,0.24823333333333333,-0.008844594611538414,24266000.0,-1.217316197531515,734208080.3525691,61.87553910027931
434,-0.09789036666666666,1,-0.10730791666666667,1,-0.14094693684210527,0,-0.365286,0,0.405,-0.016630080474289488,26600000.0,-1.1972356137681217,729480400.2938076,54.922128371177344
437,-0.0458512,1,-0.11840606896551724,1,-0.07662809782608695,0,-0.04694717010309279,1,0.12940000000000002,-0.028622210537862847,30254000.0,-1.2530786989989169,714479296.466324,54.922128371177344
438,-0.1120361842105263,1,-0.08783261111111111,1,-0.07662809782608695,0,-0.04694717010309279,1,0.12248,0.02303524470816498,30292000.0,-1.3021118533994505,713046080.3886033,62.43498001940961
439,-0.06507718604651164,1,-0.12242630769230768,1,-0.07662809782608695,0,-0.04694717010309279,1,0.34040000000000004,0.031081158528971864,32058000.0,-1.238753760073142,717194733.6571695,69.89389463210222
440,-0.08436312765957446,1,-0.05417160869565218,1,-0.07662809782608695,0,-0.04694717010309279,1,0.17112499999999997,0.006806679327300946,23994000.0,-1.0981424865134477,724650944.7143079,71.28059635615654
441,-0.0444238125,1,-0.0985218076923077,1,-0.09898555384615385,0,-0.018845105263157896,1,0.3471285714285714,0.016352124398804735,45900000.0,-0.8823783913277183,738514453.9285899,74.35714962759292
444,-0.13617369230769233,1,-0.16430107407407407,2,-0.277893,1,-0.03035716949152542,1,-0.01673333333333333,-0.0023610709723345114,26632000.0,-0.36262346578075494,763279012.6901561,74.35714962759292
445,-0.03475678125,1,-0.10448846666666665,1,-0.277893,1,-0.03035716949152542,1,0.4638416666666667,0.027835856647647095,29776000.0,-0.05354325423548214,771228510.5751301,79.46436231625344
446,-0.05285011111111112,1,-0.07088639130434783,1,-0.277893,1,-0.03035716949152542,1,0.2868555555555556,-0.012646376799613113,25302000.0,0.24118880966887266,773636092.1459419,72.22992460843426
